Code;Region;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014;2014-2015;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024
0;Quebec Province;4,842384261;4,393174073;4,921519388;4,700022161;4,979436506;5,508375227;5,972040662;6,767473246;6,786491227;6,318855369;6,327870518;6,203143295;5,342278345;4,91641446;6,429450699;7,650260917;10,84282691;10,76719175;7,913454052;2,0229964;11,27849807;21,02629477;23,83581739
1;Bas-Saint-Laurent;-0,290456534;0,237530279;0,094211684;0,337476519;1,317022138;0,964850113;0,691807309;0,697687167;0,932175508;0,473385755;0,932633443;0,564991525;0,346398584;0,887962806;1,362039109;1,65306019;1,959341133;2,766153448;1,615251212;-0,574113523;4,532190042;8,985612117;12,21113284
2;Saguenay–Lac-Saint-Jean;-0,180807144;0,357662106;-0,126084779;0,615924176;0,069131634;0,513872742;0,626045305;0,795295049;0,717343222;0,353867903;0,594048712;0,744420889;0,672811922;0,832173034;1,814593953;2,453969992;3,367826394;3,218569114;2,955996943;-1,154168302;5,86346754;10,71672549;13,6937228
3;Capitale-Nationale;2,25114488;1,25613239;1,99472865;2,453436695;1,954714775;2,491993208;2,86916617;2,962461689;3,744368038;3,27946351;3,557484278;3,779492496;3,306895215;3,127121043;4,663211374;4,227561093;6,038769303;6,078305546;4,877848828;2,709653172;10,98398646;20,0496873;22,12381387
4;Mauricie;-0,254435269;0,946464857;1,501658;0,959520933;2,096121598;1,000243354;1,343734551;1,624287472;1,745901298;1,143109371;1,027983364;0,963284197;1,082560255;1,156809684;2,300040898;2,948892107;2,941577215;4,833731183;5,771349557;0,359009208;7,766140424;11,60946294;17,48153753
5;Estrie;2,912211492;2,753542552;3,828216707;3,25173667;2,254485801;2,709684246;2,814630146;3,024863565;3,085642811;3,081872193;2,444568906;2,580509945;1,583520956;2,051459609;3,916016508;3,600085361;4,170149717;4,81774669;4,551645413;0,261382287;6,368925853;11,53456946;12,9875624
6;Montréal;16,27157363;13,68502503;14,9429278;14,18579771;15,89194077;17,22312198;18,63959648;21,69453203;20,42906561;18,85413633;18,86377998;18,31373525;16,09352163;14,06004517;16,52337343;21,47629569;31,02979515;30,76834152;20,93279623;3,661246648;29,16689496;51,14075504;55,13542808
7;Outaouais;1,357434725;3,902812088;3,086590363;2,796856557;2,435698719;3,289416834;3,012202116;2,967943143;3,813056014;4,632507095;3,149916855;4,204823632;3,41652497;2,771870108;4,223812558;4,834429817;5,239214884;7,322199486;5,022735536;1,943086528;4,084504123;12,05350474;18,67367679
8;Abitibi-Témiscamingue;-0,474667987;0,246586321;0,199908318;-0,013830159;-0,103761349;0,428370568;0,641392581;0,646772673;0,556078071;0,143698807;0,722041333;0,692311608;0,56269279;0,801189563;1,632070179;2,120206176;1,602825319;1,942928183;1,527303088;0,71120624;3,054508103;7,179404211;11,22061965
9;Côte-Nord;-0,22323467;0,543628773;0,247218789;-0,082609638;-0,238346909;-0,176934966;0,79557826;0,32574659;0,346890078;0,482607761;0,502549391;0,251322059;0,473004578;0,806434498;0,644897784;1,217993682;1,338812956;1,336654718;0,953383959;0,876356133;2,49780748;5,069454867;7,053849577
10;Nord-du-Québec;-0,279976584;-0,279035552;-0,477945338;-0,424649664;-0,124330171;-0,246369135;0,121592374;0,216512702;0,166158301;0,14037222;0,185125191;0,80237503;0,432393068;0,429024646;0,852132574;0,7811018;0,775958586;1,145462756;0,63576972;0,283101045;1,816275122;2,881131812;3,734010434
11;Gaspésie–Îles-de-la-Madeleine;-0,102475816;0,124208173;0,062518886;-0,052339853;0,273593493;0,327718078;0,233385845;0,382693739;0,701388963;0,308168047;0,213170755;0,472465464;0,466349621;0,525371043;1,357698315;1,299032942;2,091061269;1,102916602;-0,635086879;0,596062675;1,660041064;4,699150998;4,501206649
12;Chaudière-Appalaches;-0,311572227;-0,438583071;0,373817516;0,154500003;0,307541446;0,480901088;0,325677428;0,369972992;0,647365406;0,447747287;0,432975407;0,237325841;0,265427368;0,791504204;1,016135906;1,12758227;2,141614872;2,616311072;3,083421085;1,408043361;5,544131721;10,52504044;9,942089209
13;Laval;2,705508006;3,498365747;3,96365404;3,801740206;4,256285114;5,320367657;5,746945707;5,564005363;7,262054063;8,180938438;8,179368863;6,995255896;5,467217062;6,427357421;10,08027409;7,376596899;10,30283531;7,569630751;6,898833406;3,582285948;8,320884425;17,67911083;22,39036951
14;Lanaudière;-0,137920485;0,29431405;0,493489224;0,552521056;0,338261058;0,700573352;0,908484171;1,031120802;1,343620811;1,551678942;1,721800052;1,243195156;1,136681911;1,176044044;1,243133504;1,726203692;2,964637104;1,236206372;1,785457774;0,759826585;3,024921631;6,045805437;6,931369026
15;Laurentides;0,364761904;0,059655991;0,427653443;0,52667427;0,5004201;0,663451381;0,923044019;1,336643292;1,227410354;0,685198467;0,491775494;0,71630062;0,544516367;0,840370583;1,308989068;1,716438365;2,159556408;1,948730639;1,505635309;0,900791848;2,688008291;6,53752089;6,846984043
16;Montérégie;1,446610582;1,666814228;1,885323337;1,780065543;1,446035011;1,710345201;2,001258945;2,07728688;2,757956167;2,612834251;3,085896665;3,218159134;2,683231097;2,30833638;3,728919698;4,121655214;5,697834866;5,470430988;4,309843722;2,397493868;5,604291911;12,34483347;14,51457222
17;Centre-du-Québec;0,660583605;1,018446443;1,377576807;1,706815452;1,118436674;1,050501305;1,182154718;1,192908484;1,014096369;1,012970707;0,85302433;0,633625808;0,412949943;0,871642361;2,039510352;2,24765186;3,69727209;3,822301488;3,859044182;1,265047379;6,13262541;11,31245417;11,08149677
